Year,Male,Female
1940,5.50,3.80
1947,6.20,4.70
1950,7.30,5.20
1952,8.30,5.80
1957,9.60,5.80
1959,10.30,6
1962,11.40,6.70
1964,11.70,6.80
1965,12,7.10
1966,12.50,7.40
1967,12.80,7.60
1968,13.30,8
1969,13.60,8.10
1970,14.10,8.20
1971,14.60,8.50
1972,15.40,9
1973,16,9.60
1974,16.90,10.10
1975,17.60,10.60
1976,18.60,11.30
1977,19.20,12
1978,19.70,12.20
1979,20.40,12.90
1980,20.90,13.60
1981,21.10,13.40
1982,21.90,14
1983,23,15.10
1984,22.90,15.70
1985,23.10,16
1986,23.20,16.10
1987,23.60,16.50
1988,24,17
1989,24.50,18.10
1990,24.40,18.40
1991,24.30,18.80
1992,24.30,18.60
1993,24.80,19.20
1994,25.10,19.60
1995,26,20.20
1996,26,21.40
1997,26.20,21.70
1998,26.50,22.40
1999,27.50,23.10
2000,27.80,23.60
2001,28.20,24.30
2002,28.50,25.10
2003,28.90,25.70
2004,29.40,26.10
2005,28.90,26.50
2006,29.20,26.90
2007,29.50,28
2008,30.10,28.80
2009,30.10,29.10
2010,30.30,29.60
2011,30.80,30.10
2012,31.40,30.60
2013,32,31.40
2014,31.90,32
2015,32.30,32.70
2016,33.20,33.70
2017,33.70,34.60
2018,34.60,35.30
2019,35.40,36.60
2020,36.70,38.30
2021,36.60,39.10
